county_name,customers_tracked,customers_out,outage%,last_updated,electric_providers
Unknown,"14,078",0,0%,10/2/2022 1:43:31 AM GMT,"{'Central Florida Electric Cooperative': ['1,416', '0', '9/29/2022 4:03:23 PM GMT'], 'Choctawhatchee Electric Coop': ['0', '0', '6/29/2020 7:12:34 AM GMT'], 'City of Tallahassee': ['0', '0', '8/2/2020 7:03:09 PM GMT'], 'Clay Electric Coop': ['0', '0', '3/14/2020 12:11:49 AM GMT'], 'Duke Energy': ['3', '0', '10/2/2022 1:40:04 AM GMT'], 'Escambia River Electric Coop': ['42', '0', '9/12/2022 1:14:33 PM GMT'], 'Florida Keys Electric Coop': ['0', '0', '8/5/2020 8:14:43 PM GMT'], 'Florida Public Utilities': ['508', '0', '10/2/2022 1:43:31 AM GMT'], 'Gainesville Regional Utilities': ['0', '0', '3/1/2021 2:22:44 AM GMT'], 'Gulf Coast Electric Coop': ['1', '0', '6/23/2020 1:17:26 AM GMT'], 'Jacksonville Electric Authority': ['2,624', '0', '3/14/2020 12:11:45 AM GMT'], 'Lake Land Electric': ['9,324', '0', '9/30/2022 8:25:27 PM GMT'], 'SECO Energy': ['0', '0', '6/1/2018 9:33:19 PM GMT'], 'Suwannee Valley Electric Cooperative': ['4', '0', '10/2/2022 1:43:13 AM GMT'], 'Tampa Electric': ['0', '0', '4/13/2021 9:14:14 AM GMT'], 'Tri-County Electric Coop': ['5', '0', '3/31/2020 8:42:26 PM GMT'], 'West Florida Electric': ['151', '0', '10/1/2022 8:03:03 PM GMT'], 'Withlacoochee River Electric Coop': ['0', '0', '8/31/2017 2:00:45 AM GMT']}"
Volusia,"312,253","79,110",25.34%,10/2/2022 1:43:20 AM GMT,"{'Clay Electric Coop': ['2,157', '0', '10/2/2022 1:43:20 AM GMT'], 'Duke Energy': ['88,189', '23,113', '10/2/2022 1:40:04 AM GMT'], 'Florida Power & Light Company': ['191,950', '54,680', '10/2/2022 1:43:19 AM GMT'], 'New Smyrna Beach Utilities': ['29,941', '1,317', '10/2/2022 1:43:11 AM GMT'], 'SECO Energy': ['16', '0', '7/4/2018 6:33:48 PM GMT']}"
Wakulla,"17,467",0,0%,10/2/2022 1:43:16 AM GMT,"{'City of Tallahassee': ['3', '0', '9/2/2022 12:25:01 PM GMT'], 'Duke Energy': ['7,499', '0', '10/2/2022 1:40:04 AM GMT'], 'Talquin Electric Cooperative': ['9,965', '0', '10/2/2022 1:43:16 AM GMT']}"
Escambia,"157,701",1,0%,10/2/2022 1:43:19 AM GMT,"{'Escambia River Electric Coop': ['3,500', '0', '9/30/2022 3:14:03 PM GMT'], 'Florida Power & Light Company': ['154,201', '1', '10/2/2022 1:43:19 AM GMT']}"
Holmes,"10,666",0,0%,10/2/2022 1:43:19 AM GMT,"{'Choctawhatchee Electric Coop': ['289', '0', '10/2/2022 1:43:14 AM GMT'], 'Florida Power & Light Company': ['2,693', '0', '10/2/2022 1:43:19 AM GMT'], 'West Florida Electric': ['7,684', '0', '10/1/2022 7:53:52 PM GMT']}"
Jackson,"25,588",0,0%,10/2/2022 1:43:31 AM GMT,"{'Florida Power & Light Company': ['1,396', '0', '10/2/2022 1:43:19 AM GMT'], 'Florida Public Utilities': ['10,520', '0', '10/2/2022 1:43:31 AM GMT'], 'Gulf Coast Electric Coop': ['51', '0', '10/2/2022 1:43:13 AM GMT'], 'West Florida Electric': ['13,621', '0', '10/1/2022 8:13:08 PM GMT']}"
Okaloosa,"115,254",20,0.02%,10/2/2022 1:43:19 AM GMT,"{'Choctawhatchee Electric Coop': ['19,879', '20', '10/2/2022 1:43:14 AM GMT'], 'Florida Power & Light Company': ['95,375', '0', '10/2/2022 1:43:19 AM GMT']}"
Santa Rosa,"85,018",0,0%,10/2/2022 1:43:19 AM GMT,"{'Choctawhatchee Electric Coop': ['167', '0', '10/2/2022 1:43:14 AM GMT'], 'Escambia River Electric Coop': ['8,133', '0', '10/1/2022 4:03:36 PM GMT'], 'Florida Power & Light Company': ['76,718', '0', '10/2/2022 1:43:19 AM GMT']}"
Walton,"68,981",2,0%,10/2/2022 1:43:19 AM GMT,"{'Choctawhatchee Electric Coop': ['43,757', '2', '10/2/2022 1:43:14 AM GMT'], 'Florida Power & Light Company': ['25,124', '0', '10/2/2022 1:43:19 AM GMT'], 'Gulf Coast Electric Coop': ['100', '0', '10/2/2022 1:43:13 AM GMT']}"
Washington,"24,478",0,0%,10/2/2022 1:43:19 AM GMT,"{'Florida Power & Light Company': ['6,525', '0', '10/2/2022 1:43:19 AM GMT'], 'Gulf Coast Electric Coop': ['2,478', '0', '10/2/2022 1:43:13 AM GMT'], 'West Florida Electric': ['15,475', '0', '9/30/2022 4:12:58 AM GMT']}"
St. Johns,"132,881",10,0.01%,10/2/2022 1:43:19 AM GMT,"{'Clay Electric Coop': ['0', '0', '3/14/2020 12:11:53 AM GMT'], 'Florida Power & Light Company': ['107,290', '10', '10/2/2022 1:43:19 AM GMT'], 'Jacksonville Electric Authority': ['25,591', '0', '10/2/2022 1:43:14 AM GMT']}"
Desoto,"18,739","8,068",43.05%,10/2/2022 1:43:19 AM GMT,"{'Florida Power & Light Company': ['17,710', '7,040', '10/2/2022 1:43:19 AM GMT'], 'Peace River Electric Coop': ['1,029', '1,028', '10/2/2022 1:43:12 AM GMT']}"
Calhoun,"5,478",0,0%,10/2/2022 1:43:31 AM GMT,"{'Florida Public Utilities': ['833', '0', '10/2/2022 1:43:31 AM GMT'], 'Gulf Coast Electric Coop': ['1,813', '0', '10/2/2022 1:43:13 AM GMT'], 'West Florida Electric': ['2,832', '0', '9/26/2022 11:22:21 PM GMT']}"
